text,label,text_en
@TheDark71466842 Haaa iwe hazvina formula izvi mahure vanhu ava,negative,"@TheDark71466842 Wow, you have no formula, these people are whores"
Hanzi heee vakanaka havasati vazvarwa😹😹😹😂😂 kuden kwako ndokusina vanhu vakanaka.,negative,"Hey, the good ones aren't born yet😹😹😹😂😂 there are no good people in your den."
@ground_forcez Mumba chaimo muna baba namai,negative,@ground_forcez In the house there is a father and a mother
@chitowa14 @MadzimaiTiti Sekuona kwangu shadaya is opinionated and he stands by his own opinion asi madzimai varikutotsvagawo relevance nekubu vamweller,neutral,"@chitowa14 @MadzimaiTiti In my opinion, shadaya is opinionated and he stands by his own opinion, but the ladies are also looking for relevance with others."
"Vakuru vePSMI vasvika kudare reHarare Magistrates Court nepamusoro pokungepfuura vachipfuura, vhezheni ekupedzisira mavhoti makuru gare gare gare gare gare gare.
📹: Lee Maidza https://t.co/GXhqDZWsig",positive,"PSMI officials have come to the Harare Magistrates Court with more than passing, the final version of the big votes later later later.
📹: Lee Maidza https://t.co/GXhqDZWsig"
@FortuneKhumal11 @TariroHungwe2 @drjaytee87 @edmnangagwa Ndevere kana richiri kudya nezanu rinoimba manhanga kutapira asi kana romamirwa nezanu roda kutaura nezvegukurahundi https://t.co/87GBxvtF6c,negative,@FortuneKhumal11 @TariroHungwe2 @drjaytee87 @edmnangagwa Ndevere when she is eating with her mouth she sings sweet pumpkin but when she is bitten by her mouth she wants to talk about gukurahundi https://t.co/87GBxvtF6c
"#AgroKingsPvtLtd

Takunzira Pa $4.80, unozviwanira kg yenyama itsva. Kurumidza izvozvi apo aripo aripo.

#TheRoyalProducer https://t.co/9nrE5i58GA",positive,"#AgroKingsPvtLtd

Brought to you For $4.80, you get a kg of fresh meat. Hurry now while they are available.

#TheRoyalProducer https://t.co/9nrE5i58GA"
"@daddyhope @DMwonzora Hatingavaka patsva Zimbabwe pasina kutenda uye kubvuma kugamuchira!
Kukudza kufirefigiri oye kutsvenesa kupedza kuchave kupa zvipo uye kusazvibata patsva patsva!

President D.Mwonzora havafanirwe kuitwa kupedza simba nekukwanisa kwaPresident Chamisa",negative,"@daddyhope @DMwonzora We cannot rebuild Zimbabwe without faith and acceptance!
To honor the fire and to sanctify the end will be to give gifts and not behave again and again!

President D. Mwonzora should not be made to exhaust the power and ability of President Chamisa"
"@drDendere after appoint Mwonzora deputy kune munhu ane 1 month muparty wawai kuti aende kumba & anochema. Vehutongerwo enyika vanorwa uye Doug achaita kuti tiatonge, unotenda muna Chamisa mukati; ஒரு அவன் அழைத்துக்கொண்டு சொல்லி.",negative,"@drDendere after appointing Mwonzora deputy there is a person who has been in the party for 1 month so he goes home & cries. Politicians fight and Doug will make us rule, you believe in Chamisa inside; ورو اوون اورو اوون اورو اون اورو اون"
@avocuddle_wacho @yxngn_m I thought engineering was easy until now in my second year....kune unoziva kunodiwa nevapfudza mombe,negative,@avocuddle_wacho @yxngn_m I thought engineering was easy until now in my second year....who knows what cattle herders need
@kinglyself Kusveta homwe kudzoka kumba womirira nyasha kuti dzikutengere muriwo,positive,@kinglyself Picking up your pocket back home and waiting for grace to buy you vegetables
@musoro_bhangu_ Kana mota dzedu togezera kumba😂,positive,@musoro_bhangu_ When we wash our cars at home😂
@TichZindoga @nelsonchamisa @daddyhope He won that one if he do that trust me vanhu vanomuunganira usiku huno kuita pungwe chaiyo.,neutral,@TichZindoga @nelsonchamisa @daddyhope He won that one if he do that trust me people will gather around him tonight to make a real mess.
"@RealTalkFadzie Mabhatiri eSolar akazara ma size ese geli nethium https://t.co/tpwg52nsCz kupiwa simba
Fona kana app 0715313609 https://t.co/fRMQAUMEsj",positive,"@RealTalkFadzie Solar batteries full size gel netium https://t.co/tpwg52nsCz powered
Call or app 0715313609 https://t.co/fRMQAUMEsj"
cheku glenview chakapa vanhu cholera gore riya,negative,Glenview gave people cholera that year
@_vpart Vanhu vari single ndovavat Shadaya 🤌🏾 https://t.co/GkqAQqIPwV,negative,@_vpart People who are single are called Shadaya 🤌🏾 https://t.co/GkqAQqIPwV
"@Makiwah_ Harare is more than useless, mari maShona abadli gundwane",negative,"@Makiwah_ Harare is more than useless, money is shona abadli gundwane"
@Nyasha_Chanaz Kumba kwenyu munodya zvemuhotera chete everyday 10/10,negative,@Nyasha_Chanaz At your house you only eat hotel food everyday 10/10
@ChikomanaC Ummm kana wataura ne varimi kubva kuseni mudumbu munoita gap chokwadi. Kupesana ne chikafu ndakabva ndati BODO KKK 😂,positive,"@ChikomanaC Ummm, if you talk to the farmers from the morning, you will definitely feel a gap in your stomach. Against the food I said BODO KKK 😂"
@WambaJnr Kwana semari yebhazi plus zvitambi zvacho hazvigadzirwi kumba kwenyu,positive,@WambaJnr Just like the bus fare plus the stamps are not made at your home
"@PettylilRi 1. Kure kwegava sharpened 
2. Mwana asingacheme anenge aguta mukaka🤣🤣",positive,"@PettylilRi 1. Far from the fox sharpened
2. A child who does not cry is full of milk🤣🤣"
