token,token_en,label,PMI,pmi_sign,polarity_sign,agreement,English,French,Shona,Zulu,Xhosa,Afrikaans,Sepedi,Score,Sentiment,Nature
#africa,#africa,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#edworks,#edworks,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#gpzvhrk,#gpzvhrk,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#issawholenewvibe,#issawholenewvibe,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#jobs,#jobs,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#jobszimbabwe,#jobszimabwe,positive,2.9212073876621125,1,,mismatch,,,,,,,,,,
#legacyrealestate,#legacyrealestate,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
#partycipate,#participate,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#rawsonproperties,#rawsonproperties,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#redmarketsunday,#redmarketsGunday,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#registertovote,#registertovote,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
#rip,#rip,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
#shoko2022,#shoko2022,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
#skyryanproperties,#skyryanproperties,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
#thehubzw,#TheHubzw,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
#zanupfmustgo,#zanupfumstgo,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
$30,$30,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
$60,$60,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
*,,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
00,00,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
07,07,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
08,08,neutral,4.163225303565661,0,,mismatch,,,,,,,,,,
100%,100%,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
13,13,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
1998,1998,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
207,207,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
2am,2am,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
33,33,neutral,4.00794707808775,0,,mismatch,,,,,,,,,,
39,39,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
40k,40k,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
5am,5am,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
5kg,5kg,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
70,70,neutral,4.033942286620695,0,,mismatch,,,,,,,,,,
77,77,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
=,,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@alpha,@alpha,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@alwyn,@alwyn,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@anti,@anti,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@antipeaceman,@antipeaceman,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@arniek25aarnold,@arniek25aarnold,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@arthur85026546,@arthur85026546,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@auzy,@auzy,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@babatafi,@babati,positive,3.14359980899856,1,,mismatch,,,,,,,,,,
@bellamelz12,@bellamelz12,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@bernsoft2,@Bernsoft2,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@black,@black,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@boriscde,@boriscde,neutral,3.9033581768105505,0,,mismatch,,,,,,,,,,
@bradelyboy,@bradelyboy,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@buhle,@ beauty,negative,1.9038076624503113,-1,,mismatch,,,,,,,,,,
@castlelagerzw,@castlelagerzw,positive,2.9509547310561643,1,,mismatch,,,,,,,,,,
@chris79016670,@chris79016670,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@costmillions,@costmillions,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@crussymalvin,@crussymalvin,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
@dandepartners,@dandepartners,neutral,3.8704435543378155,0,,mismatch,,,,,,,,,,
@dave,@dave,neutral,3.9408328822292136,0,,mismatch,,,,,,,,,,
@david7zoe,@ David7zoe,positive,3.1435998089985606,1,,mismatch,,,,,,,,,,
@denfordngadzio1,@ Denfordao1,neutral,3.993300302123349,0,,mismatch,,,,,,,,,,
@designerguyzw,@designerguyzw,negative,1.903807662450311,-1,,mismatch,,,,,,,,,,
@dialo,@dialo,neutral,4.3558703815080575,0,,mismatch,,,,,,,,,,
@eargroundzw,@eargroundzw,neutral,4.092835975674263,0,,mismatch,,,,,,,,,,
