token,label,PMI,freq,class_freq
@madhube01,negative,1.9038076624503113,12,12
🙆‍♀️,negative,1.9038076624503113,12,12
chiii,negative,1.9038076624503113,12,12
nenhema,negative,1.9038076624503113,12,12
matsha,negative,1.9038076624503113,12,12
kubhadara,negative,1.9038076624503113,12,12
load,negative,1.9038076624503113,12,12
gem,negative,1.9038076624503113,12,12
usa,negative,1.9038076624503113,12,12
gully,negative,1.9038076624503113,12,12
@buhle,negative,1.9038076624503113,12,12
mayasi,negative,1.9038076624503113,12,12
@shanon,negative,1.9038076624503113,12,12
chimukai,negative,1.9038076624503113,12,12
@mhungu,negative,1.9038076624503113,12,12
vaenda,negative,1.903807662450311,6,6
coventry,negative,1.903807662450311,6,6
gondo,negative,1.903807662450311,5,5
@oppamuchinguri,negative,1.903807662450311,5,5
mum,negative,1.903807662450311,5,5
yekupedza,negative,1.903807662450311,6,6
@takudzwa0117,negative,1.903807662450311,5,5
hiv,negative,1.903807662450311,6,6
zvinokwanisa,negative,1.903807662450311,6,6
akapera,negative,1.903807662450311,5,5
kunzwirwa,negative,1.903807662450311,6,6
adeepisa,negative,1.903807662450311,5,5
@tamiswa,negative,1.903807662450311,10,10
papayaisa,negative,1.903807662450311,6,6
asingazive,negative,1.903807662450311,9,9
yakazara,negative,1.903807662450311,21,21
ejm,negative,1.903807662450311,10,10
agent,negative,1.903807662450311,6,6
heeee,negative,1.903807662450311,6,6
@antipeaceman,negative,1.903807662450311,5,5
sekuwana,negative,1.903807662450311,5,5
mpofu,negative,1.903807662450311,6,6
😣,negative,1.903807662450311,5,5
haite,negative,1.903807662450311,6,6
pwere,negative,1.903807662450311,6,6
washadaya,negative,1.903807662450311,6,6
🤦🏾‍♀️,negative,1.903807662450311,5,5
hazvipere,negative,1.903807662450311,5,5
nekunyepa,negative,1.903807662450311,6,6
blind,negative,1.903807662450311,6,6
wasn’t,negative,1.903807662450311,5,5
mazimbabweans,negative,1.903807662450311,5,5
vavhote,negative,1.903807662450311,6,6
evil,negative,1.903807662450311,9,9
@rachel,negative,1.903807662450311,5,5
zvakabva,negative,1.903807662450311,5,5
nekubirwa,negative,1.903807662450311,6,6
@gr4youdontlike,negative,1.903807662450311,13,13
ndozvatiri,negative,1.903807662450311,5,5
nekushaya,negative,1.903807662450311,6,6
charity,negative,1.903807662450311,14,14
rashadaya,negative,1.903807662450311,6,6
ekare,negative,1.903807662450311,5,5
kushoropodza,negative,1.903807662450311,6,6
davi,negative,1.903807662450311,6,6
chimoko,negative,1.903807662450311,6,6
kumwa,negative,1.903807662450311,5,5
anodhura,negative,1.903807662450311,5,5
mboro,negative,1.903807662450311,5,5
cheat,negative,1.903807662450311,9,9
hapanawo,negative,1.903807662450311,5,5
dzanga,negative,1.903807662450311,5,5
kumupedzanhamo,negative,1.903807662450311,6,6
nduwe,negative,1.903807662450311,5,5
muparty,negative,1.903807662450311,6,6
@wezhex,negative,1.903807662450311,6,6
@fatso4real,negative,1.903807662450311,6,6
ichiri,negative,1.903807662450311,6,6
username,negative,1.903807662450311,5,5
lil,negative,1.903807662450311,9,9
5am,negative,1.903807662450311,6,6
kutodya,negative,1.903807662450311,5,5
kutuma,negative,1.903807662450311,5,5
@black,negative,1.903807662450311,5,5
tsom,negative,1.903807662450311,6,6
@marthasekeramay,negative,1.903807662450311,6,6
ingawani,negative,1.903807662450311,5,5
kunanzva,negative,1.903807662450311,5,5
anonyepa,negative,1.903807662450311,6,6
kuteya,negative,1.903807662450311,6,6
zvirizvo,negative,1.903807662450311,6,6
mujoina,negative,1.903807662450311,5,5
@lisah,negative,1.903807662450311,5,5
mumota,negative,1.903807662450311,6,6
perish,negative,1.903807662450311,5,5
akutonzi,negative,1.903807662450311,5,5
@ngpindemukomana,negative,1.903807662450311,6,6
confessions,negative,1.903807662450311,5,5
zvinei,negative,1.903807662450311,6,6
left,negative,1.903807662450311,6,6
tuka,negative,1.903807662450311,5,5
wanna,negative,1.903807662450311,5,5
yekucheka,negative,1.903807662450311,5,5
vanorova,negative,1.903807662450311,6,6
inorarama,negative,1.903807662450311,10,10
mibvunzo,negative,1.903807662450311,5,5
pill,negative,1.903807662450311,6,6
chairi,negative,1.903807662450311,6,6
mharidzo,negative,1.903807662450311,5,5
simping,negative,1.903807662450311,5,5
padura,negative,1.903807662450311,5,5
@designerguyzw,negative,1.903807662450311,6,6
western,negative,1.903807662450311,6,6
neshungu,negative,1.903807662450311,6,6
@tapiwamunjoma,negative,1.903807662450311,5,5
vhesi,negative,1.903807662450311,5,5
makanzi,negative,1.903807662450311,6,6
bonyora,negative,1.903807662450311,5,5
vembwa,negative,1.903807662450311,13,13
wandiri,negative,1.903807662450311,5,5
nomukadzi,negative,1.903807662450311,5,5
@lyn,negative,1.903807662450311,5,5
vasiyana,negative,1.903807662450311,6,6
mabhero,negative,1.903807662450311,5,5
pachikoro,negative,1.903807662450311,6,6
ndive,negative,1.903807662450311,11,11
layer,negative,1.903807662450311,5,5
kukama,negative,1.903807662450311,5,5
haapo,negative,1.903807662450311,5,5
@effort,negative,1.903807662450311,5,5
vharira,negative,1.903807662450311,6,6
@rutendocindy,negative,1.903807662450311,5,5
ndofarira,negative,1.903807662450311,11,11
@talemagara,negative,1.903807662450311,10,10
ngavasiyane,negative,1.903807662450311,6,6
@tichafatmudzana,negative,1.903807662450311,6,6
kuvhara,negative,1.903807662450311,5,5
kunyepera,negative,1.903807662450311,13,13
nenyama,negative,1.903807662450311,6,6
@slender,negative,1.903807662450311,6,6
unkols,negative,1.903807662450311,5,5
kamari,negative,1.903807662450311,6,6
chokuba,negative,1.903807662450311,5,5
yevanhu,negative,1.903807662450311,5,5
cheku,negative,1.903807662450311,5,5
hamudi,negative,1.903807662450311,5,5
@smangovacho,negative,1.903807662450311,6,6
zvinosiririsa,negative,1.903807662450311,6,6
@gushaz28,negative,1.903807662450311,5,5
ngochani,negative,1.903807662450311,9,9
#zanupfmustgo,negative,1.903807662450311,6,6
muchiri,negative,1.903807662450311,5,5
@peemix01,negative,1.903807662450311,5,5
😢,negative,1.903807662450311,9,9
spaghetti,negative,1.903807662450311,6,6
ngarivhume,negative,1.903807662450311,5,5
ehee,negative,1.903807662450311,6,6
achitadza,negative,1.903807662450311,5,5
inovava,negative,1.903807662450311,6,6
monetsana,negative,1.903807662450311,5,5
@lovenesssilenje,negative,1.903807662450311,6,6
chavanofunga,negative,1.903807662450311,5,5
billion,negative,1.903807662450311,6,6
mothers,negative,1.903807662450311,9,9
percentage,negative,1.903807662450311,5,5
kupota,negative,1.903807662450311,5,5
varamba,negative,1.903807662450311,5,5
ccczimbabwe,negative,1.903807662450311,5,5
imhosva,negative,1.903807662450311,6,6
vanoona,negative,1.903807662450311,6,6
vanomhanya,negative,1.903807662450311,6,6
akapusa,negative,1.903807662450311,5,5
