token,label,PMI,token_en
#africa,neutral,4.092835975674263,#africa
#edworks,positive,2.9212073876621125,#edworks
#gpzvhrk,positive,2.9509547310561643,#gpzvhrk
#issawholenewvibe,positive,2.9509547310561643,#issawholenewvibe
#jobs,positive,2.9212073876621125,#jobs
#jobszimbabwe,positive,2.9212073876621125,#jobszimabwe
#legacyrealestate,positive,3.1435998089985606,#legacyrealestate
#partycipate,neutral,4.092835975674263,#participate
#rawsonproperties,positive,3.14359980899856,#rawsonproperties
#redmarketsunday,positive,3.14359980899856,#redmarketsGunday
#registertovote,positive,2.9509547310561643,#registertovote
#rip,positive,3.1435998089985606,#rip
#shoko2022,neutral,4.092835975674263,#shoko2022
#skyryanproperties,positive,3.14359980899856,#skyryanproperties
#thehubzw,neutral,3.8704435543378155,#TheHubzw
#zanupfmustgo,negative,1.903807662450311,#zanupfumstgo
$30,neutral,4.092835975674263,$30
$60,positive,2.9509547310561643,$60
*,positive,3.1435998089985606,
00,neutral,4.033942286620695,00
07,neutral,4.092835975674263,07
08,neutral,4.163225303565661,08
100%,neutral,4.033942286620695,100%
13,positive,2.9509547310561643,13
1998,neutral,4.092835975674263,1998
207,positive,2.9509547310561643,207
2am,negative,1.903807662450311,2am
33,neutral,4.00794707808775,33
39,positive,3.1435998089985606,39
40k,neutral,3.8704435543378155,40k
5am,negative,1.903807662450311,5am
5kg,neutral,4.092835975674263,5kg
70,neutral,4.033942286620695,70
77,positive,3.1435998089985606,77
=,positive,3.14359980899856,
@alpha,negative,1.903807662450311,@alpha
@alwyn,neutral,3.8704435543378155,@alwyn
@anti,neutral,3.8704435543378155,@anti
@antipeaceman,negative,1.903807662450311,@antipeaceman
@arniek25aarnold,positive,3.1435998089985606,@arniek25aarnold
@arthur85026546,neutral,3.8704435543378155,@arthur85026546
@auzy,neutral,4.092835975674263,@auzy
@babatafi,positive,3.14359980899856,@babati
@bellamelz12,negative,1.903807662450311,@bellamelz12
@bernsoft2,neutral,3.8704435543378155,@Bernsoft2
@black,negative,1.903807662450311,@black
@boriscde,neutral,3.9033581768105505,@boriscde
@bradelyboy,neutral,4.092835975674263,@bradelyboy
@buhle,negative,1.9038076624503113,@ beauty
@castlelagerzw,positive,2.9509547310561643,@castlelagerzw
@chris79016670,neutral,4.3558703815080575,@chris79016670
@costmillions,neutral,3.8704435543378155,@costmillions
@crussymalvin,neutral,4.092835975674263,@crussymalvin
@dandepartners,neutral,3.8704435543378155,@dandepartners
@dave,neutral,3.9408328822292136,@dave
@david7zoe,positive,3.1435998089985606,@ David7zoe
@denfordngadzio1,neutral,3.993300302123349,@ Denfordao1
@designerguyzw,negative,1.903807662450311,@designerguyzw
@dialo,neutral,4.3558703815080575,@dialo
@eargroundzw,neutral,4.092835975674263,@eargroundzw
@eddie,neutral,3.8704435543378155,@eddie
@effort,negative,1.903807662450311,@effort
@ekayzee,neutral,4.066363764313072,@ekayzee
@elliotlinksync,negative,1.903807662450311,@elliotlinksync
@elonmusk,neutral,3.8704435543378155,@elon musk
@emteeen,neutral,3.9408328822292136,@emteen
@everjoicewin,positive,2.9212073876621125,@everjoicewin
@faffienesongano,neutral,3.8704435543378155,@Faffienesongano
@fatso4real,negative,1.903807662450311,@fatso4real
@frcombo,neutral,3.8704435543378155,@frcombo
@gnashkid,positive,3.14359980899856,@gnashkid
