token,token_en,pmi_label,lexicon_sign,contexts,llm_prompt
#africa,#africa,neutral,0,"[""Wadiwa @ZANUPF_Official kana kuti Nguvo dziri mumusoro make, noupfumi hwe #Africa vachapinda mukugadzwa. Ona simba nhasi kuKenya. Imi muchin …"", ""Wadiwa @ZANUPF_Official kana kuti Nguvo dziri mumusoro make, noupfumi hwe #Africa vachapinda mukugadzwa. Ona simba nhasi kuKenya. Imi muchin …"", ""Wadiwa @ZANUPF_Official kana kuti Nguvo dziri mumusoro make, noupfumi hwe #Africa vachapinda mukugadzwa. Ona simba nhasi kuKenya. Imi muchin …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #africa
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#edworks,#edworks,positive,0,"[""Chirongwa chemari, kuvaka nedura redura reBeitbridge-Masvingo-Harare chiri kuitwa nekuzivisa mariri uye chiri kutsigirwa nemari yokutumira.  …"", ""@Varakashi4ED mbadzano maProvince-kufunga a kuvaka, Harare,Bulawayo, Masvingo, Mash Central neMash East #EDWorks Roadshows inosimudzira ese  …"", ""Chirongwa chemari, kuvaka nedura redura reBeitbridge-Masvingo-Harare chiri kuitwa nekuzivisa mariri uye chiri kutsigirwa nemari yokutumira.  …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #edworks
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#gpzvhrk,#gpzvhrk,positive,0,"[""Kuuya kudzimba!\r\n\r\nMutambo wekupedzisira weZim Cyber-City Domestic T10 pakati peGreat Zimbabwe Patriots neHarare Kings.\r\n\r\nNdiani achahwina  …"", ""#Match14 | ZVIRI BERI: Great Zimbabwe Patriots yakahwina mutsindo ndokusarudza kutanga yarova Harare Kings\r\n\r\nLive streaming 👉 https://t.co/ …"", ""#Match14 | @gzpatriots set Harare Kings 1⃣3⃣8⃣ runs to win in 10 overs\r\n\r\n(Marumani 96, Mutumbami 23; Chikowero 2/14, Evans 1/14)\r\n\r\nLive st …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #gpzvhrk
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#issawholenewvibe,#issawholenewvibe,positive,0,"[""Tarisa uone mufananidzo weZim Cyber-City Domestic T10 pakati peHarare Kings naTakashinga Patriots 2.\r\n\r\n@hararekings akahwina toss oye a pod …"", ""Mhoro uye tinotumira! Ndiwo mutambo wechitatu nechina pakati peTakashinga Patriots 1 neShumba na12:20hrs.\r\n\r\nGare gare, tichava nefainari na …"", ""Mhoro uye tinotumira! Izuva 3 re #ZimDomesticT10 paHarare Sports Club. Shumba inotora Takashinga Patriots 2\r\n\r\nNdiani achahwina uyu? 🤔\r\n\r\nKu …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #issawholenewvibe
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#jobs,#jobs,positive,0,"[""Chemistry Teacher - Gateway High chikoro cheChristian co-educational chachiri kuchiri mari. Mikana yebasa yamuka kune chero ani zvake anoda  …"", ""Graduate Internship: HR & ADMINISTRATION INTERN (Harare) - ActionAid Zimbabwe isangano rechiraziro pasi rose rinoshanda pfumbupfu mana, rich …"", ""Biology Teacher - Gateway High chikoro chekare chakazvidya chiri simba. Mikana yebasa yamuka anoda kukudza Mwari kunoedza kune munhu nyika y …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #jobs
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#jobszimbabwe,#jobszimabwe,positive,0,"[""Chemistry Teacher - Gateway High chikoro cheChristian co-educational chachiri kuchiri mari. Mikana yebasa yamuka kune chero ani zvake anoda  …"", ""Graduate Internship: HR & ADMINISTRATION INTERN (Harare) - ActionAid Zimbabwe isangano rechiraziro pasi rose rinoshanda pfumbupfu mana, rich …"", ""Biology Teacher - Gateway High chikoro chekare chakazvidya chiri simba. Mikana yebasa yamuka anoda kukudza Mwari kunoedza kune munhu nyika y …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #jobszimbabwe
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#legacyrealestate,#legacyrealestate,positive,0,"[""4 Imba yekurara yekuroja muGlen Lorne - USD 3,000/pm\r\n #LegacyRealEstate #PropertybookZW https://t.co/H2X7rYxSP2"", ""4 imba yekuraraTownhouse/Cluster iri Kutengeswa muMarlborough - USD 100,000\r\n #LegacyRealEstate #PropertybookZW https://t.co/RScc48LpBi"", ""4 imba yekuraraHouse yekurojesa muMarimba Park - USD 500/pm\r\n #LegacyRealEstate #PropertybookZW https://t.co/yu6Zili7DM""]","You are helping annotate a multilingual sentiment lexicon.
Word: #legacyrealestate
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#partycipate,#participate,neutral,0,"[""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""The Roast of Temba Mliswa featuring \r\nCde Fatso @ComradeFatsooo\r\nHeavenly Army Commander @talentmadungwe \r\nBaba Cassette - @bustoptv \r\n\r\nDat …"", ""Baba Ma Twins vanenge varipo pa Roast of Temba Mliswa on the 30 of September \r\n #TheHubZW #Shoko2022 #PARTYcipate\r\n\r\nTickets $5 Chete \r\n\r\n@b …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #partycipate
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): neutral.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#rawsonproperties,#rawsonproperties,positive,0,"[""4 Imba yekurara yekuroja muHighlands - USD 2,000/pm\r\n #RawsonProperties #PropertybookZW https://t.co/kAjLYOkau7"", ""4 imba yekuraraHouse Inotengeswa muGlaudina - USD 60,000\r\n #RawsonProperties #PropertybookZW https://t.co/ZhlZ2HKkif"", ""3 imba yekuraraTownhouse/Cluster iri Kutengeswa muWestgate - USD 98,000\r\n #RawsonProperties #PropertybookZW https://t.co/CMBpfbfyrC""]","You are helping annotate a multilingual sentiment lexicon.
Word: #rawsonproperties
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
#redmarketsunday,#redmarketsGunday,positive,0,"[""Kunhuwirira Kwake, kugadza mumutauro. Kuendeswa mahara mahara\r\n@redmarketsunday #redmarketsunday https://t.co/Bm8suwwpKY"", ""Mawachi anoita e$100\r\nKuendeswa mahara mahara\r\n@redmarketsunday #redmarketsunday https://t.co/wSTh4cNaVg"", ""Zvikabudura zvechirimo zvinowanika $10 imwe chete,pfupi zvipfupi $12 paki nguva dziripo kuendeswa kuHarare CBD ndibate pa0782814434 #redmark …""]","You are helping annotate a multilingual sentiment lexicon.
Word: #redmarketsunday
Language: Shona
English gloss: nan
Corpus sentiment trend (from PMI): positive.
Lexicon polarity sign: 0 (−1=neg,0=neu,1=pos).
Tasks: (1) Provide POS tag; (2) Decide polarity (−9..9) and label (neg/neu/pos); (3) If ambiguous, explain briefly and give two example sentences."
